it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	
0	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.23325684975605102	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.14708687911129081	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202	0.086169970644760202
1000	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.16701647990591148	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.14139341243441875	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733	0.025623067471492733
2000	0.39334759985864565	0.39334759985864565	0.39334759985864565	0.39334759985864565	0.39334759985864565	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.11900588229407601	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.32146788054542064	0.48483310217493808	0.48483310217493808	0.48483310217493808	0.48483310217493808	0.48483310217493808	0.48483310217493808	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.10419252278336211	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.060011736392337006	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	0.061587177171587841	-0.091485502316292433	-0.091485502316292433	-0.091485502316292433	-0.091485502316292433	-0.091485502316292433	-0.36582721988086209	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.0148133595107139	0.058994145901739001	0.058994145901739001	0.058994145901739001	0.058994145901739001	0.058994145901739001	0.058994145901739001	0.058994145901739001	0.2614561441530836	0.2614561441530836	0.2614561441530836	0.2614561441530836	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279	0.25988070337383279
3000	0.22108297094024226	0.22108297094024226	0.22108297094024226	0.22108297094024226	0.22108297094024226	0.22108297094024226	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.10186125010282002	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.19945544558654091	0.7978752388901853	0.7978752388901853	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.14213813668644304	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.064423755784889875	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	0.046330405246081723	-0.57679226794994309	-0.57679226794994309	0.078944834253799223	0.078944834253799223	0.078944834253799223	0.078944834253799223	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	-0.040276886583623023	0.037437494317930142	0.037437494317930142	0.037437494317930142	0.037437494317930142	0.037437494317930142	0.037437494317930142	0.13503168980165103	0.13503168980165103	0.13503168980165103	0.13503168980165103	0.13503168980165103	0.13503168980165103	0.13503168980165103	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918	0.15312504034045918
4000	0.26665000404568973	0.26665000404568973	0.26665000404568973	0.26665000404568973	0.26665000404568973	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.11907937423269323	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.1520710271449644	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.39297609554547858	0.9757434013547891	0.9757434013547891	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.13028520698580537	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.057760280241852244	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	0.042116462780299561	-0.70909339730909937	-0.70909339730909937	0.13636479705988436	0.13636479705988436	0.13636479705988436	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	-0.011205832753112141	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.021785820159159031	0.094310746903112155	0.094310746903112155	0.094310746903112155	0.094310746903112155	0.094310746903112155	0.33521581530362632	0.33521581530362632	0.33521581530362632	0.33521581530362632	0.33521581530362632	0.33521581530362632	0.33521581530362632	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901	0.35085963276517901
5000	0.29327804969939708	0.29327804969939708	0.29327804969939708	0.29327804969939708	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.10876434530766187	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.1427398078094847	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.42748160131977081	0.28586886459239036	0.28586886459239036	0.28586886459239036	0.28586886459239036	0.28586886459239036	0.28586886459239036	0.28586886459239036	1.2708907170036701	1.2708907170036701	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.13501732336361708	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.075580569516508073	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	0.069727396800420782	-0.97761266730427299	-0.97761266730427299	0.15826072633578001	0.15826072633578001	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	-0.026252978055955209	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.0077224844458676223	0.067159238292976625	0.067159238292976625	0.067159238292976625	0.067159238292976625	0.35190103180326271	0.35190103180326271	0.35190103180326271	0.35190103180326271	0.35190103180326271	0.35775420451935003	0.35775420451935003	0.35775420451935003	0.35775420451935003	0.35775420451935003	0.35775420451935003	0.35775420451935003	0.21614146779196958	0.21614146779196958	0.21614146779196958	0.21614146779196958	0.21614146779196958	0.21614146779196958	0.21614146779196958
6000	0.23181723565220175	0.23181723565220175	0.23181723565220175	0.23181723565220175	0.23181723565220175	0.23181723565220175	0.23181723565220175	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.073697161337903314	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.15344959545302386	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.27402890258353579	0.30033054926686931	0.30033054926686931	0.30033054926686931	0.30033054926686931	0.30033054926686931	0.30033054926686931	0.30033054926686931	1.201929078940827	1.201929078940827	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.11950067111811823	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.055204247760470587	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	0.041492758121256926	-0.97011184328862532	-0.97011184328862532	0.11231656453408352	0.11231656453408352	0.11231656453408352	0.11231656453408352	0.11231656453408352	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	-0.045803509780214913	0.033948924334905636	0.033948924334905636	0.033948924334905636	0.033948924334905636	0.033948924334905636	0.033948924334905636	0.098245347692553275	0.098245347692553275	0.098245347692553275	0.098245347692553275	0.21882465482306521	0.21882465482306521	0.21882465482306521	0.21882465482306521	0.21882465482306521	0.23253614446227888	0.23253614446227888	0.23253614446227888	0.23253614446227888	0.23253614446227888	0.23253614446227888	0.23253614446227888	0.25883779114561239	0.25883779114561239	0.25883779114561239	0.25883779114561239	0.25883779114561239	0.25883779114561239	0.25883779114561239
7000	0.26088915215249492	0.26088915215249492	0.26088915215249492	0.26088915215249492	0.26088915215249492	0.26088915215249492	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.05306534564965814	0.14016183291083911	0.14016183291083911	0.14016183291083911	0.14016183291083911	0.14016183291083911	0.14016183291083911	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.16494859643986054	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.23345634568967569	0.21377974367970085	0.21377974367970085	0.21377974367970085	0.21377974367970085	0.21377974367970085	1.2098759234144643	1.2098759234144643	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.12783243850151468	0.063392899333007804	0.063392899333007804	0.063392899333007804	0.063392899333007804	0.063392899333007804	0.063392899333007804	0.063392899333007804	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	0.08621526859772044	-0.94898677126196929	-0.94898677126196929	0.13305671365098024	0.13305671365098024	0.13305671365098024	0.13305671365098024	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	-0.074767092851856537	0.012329394409324429	0.012329394409324429	0.012329394409324429	0.012329394409324429	0.012329394409324429	0.012329394409324429	0.037116157938345856	0.037116157938345856	0.037116157938345856	0.037116157938345856	0.037116157938345856	0.10155569710685274	0.10155569710685274	0.10155569710685274	0.10155569710685274	0.10155569710685274	0.10155569710685274	0.17006344635666787	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.14724107709195525	0.12756447508198041	0.12756447508198041	0.12756447508198041	0.12756447508198041	0.12756447508198041
8000	0.31844210149776786	0.31844210149776786	0.31844210149776786	0.31844210149776786	0.31844210149776786	0.31844210149776786	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.066236936878459371	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.15284799694549728	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.4159656146263439	0.20205433973753337	0.20205433973753337	0.20205433973753337	0.20205433973753337	0.20205433973753337	0.20205433973753337	0.20205433973753337	0.20205433973753337	0.20205433973753337	1.3184771045564434	1.3184771045564434	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.1267910465210681	0.10218526503444539	0.10218526503444539	0.10218526503444539	0.10218526503444539	0.10218526503444539	0.10218526503444539	0.10218526503444539	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	0.12142295624093709	-1.0000350030586755	-1.0000350030586755	0.19165105497669976	0.19165105497669976	0.19165105497669976	0.19165105497669976	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	-0.060554109642608725	0.026056950424429182	0.026056950424429182	0.026056950424429182	0.026056950424429182	0.026056950424429182	0.026056950424429182	0.026056950424429182	0.050662731911051889	0.050662731911051889	0.050662731911051889	0.050662731911051889	0.31378034959189849	0.31378034959189849	0.31378034959189849	0.29454265838540683	0.29454265838540683	0.29454265838540683	0.29454265838540683	0.29454265838540683	0.29454265838540683	0.29454265838540683	0.080631383496596279	0.080631383496596279	0.080631383496596279	0.080631383496596279	0.080631383496596279	0.080631383496596279	0.080631383496596279	0.080631383496596279	0.080631383496596279
9000	0.27529569400734144	0.27529569400734144	0.27529569400734144	0.27529569400734144	0.27529569400734144	0.27529569400734144	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.11009258479613036	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.15422921085839708	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.45632825763921947	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.41570101426130512	0.88053891703985521	0.88053891703985521	0.21554627282505473	0.21554627282505473	0.21554627282505473	0.21554627282505473	0.21554627282505473	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.088824667300530943	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	0.17353936758540803	-0.60524322303251377	-0.60524322303251377	0.059749421182286711	0.059749421182286711	0.059749421182286711	0.059749421182286711	-0.10545368802892437	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.02126791749559942	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.065404543557866138	0.36750359033868851	0.36750359033868851	0.36750359033868851	0.28278889005381147	0.28278889005381147	0.28278889005381147	0.28278889005381147	0.28278889005381147	0.28278889005381147	0.28278889005381147	0.2421616466758971	0.2421616466758971	0.2421616466758971	0.2421616466758971	0.2421616466758971	0.2421616466758971	0.2421616466758971	0.2421616466758971	0.2421616466758971
